model,fold,best_dice,duration,lr
unet,0,0.8526995732234075,0:08:14,0.0003
unet,1,0.5736586706978934,0:08:20,0.0003
unet,2,0.846377182006836,0:09:14,0.0003
unet,3,0.041856770332042985,0:08:46,0.0003
unet,4,0.8657017621127042,0:08:52,0.0003
unet,3,0.8403778076171875,0:17:34,0.0001
unet,1,0.8766027178083148,2:36:45,0.0001
unet,0,0.8826759044940655,2:39:12,0.0001
unet,4,0.8736187162853423,2:42:32,0.0001
unet,2,0.8454818725585938,2:48:58,0.0001
swinunet,0,0.8906308687650241,0:34:35,0.0003
swinunet,1,0.8900694165910993,0:34:18,0.0003
swinunet,2,0.8616049766540528,0:40:43,0.0003
swinunet,3,0.8798575034508338,0:35:01,0.0003
swinunet,4,0.8953905972567472,0:36:31,0.0003
segresnet,0,0.8970023668729342,0:29:18,0.0003
segresnet,1,0.0,0:28:44,0.0003
segresnet,2,0.8387022972106933,0:34:04,0.0003
segresnet,3,0.8625564575195312,0:29:25,0.0003
segresnet,4,0.8834342956542969,0:30:44,0.0003
segresnet,1,0.8956664630344936,0:28:44,0.0003
segresnet,0,0.8952797376192533,0:29:08,0.0003
segresnet,0,0.8973318980290339,0:57:46,0.0003
segresnet,1,0.8922380038670131,0:57:39,0.0003
segresnet,2,0.8507905006408691,1:07:54,0.0003
segresnet,3,0.8708104353684646,0:58:54,0.0003
segresnet,4,0.8827565800059926,1:01:02,0.0003
swinunet,0,0.8887370182917669,1:08:42,0.0003
swinunet,1,0.8910918235778809,1:08:41,0.0003
swinunet,2,0.8624734878540039,1:21:20,0.0003
swinunet,3,0.8807522700383112,1:10:13,0.0003
swinunet,4,0.9002421985973011,1:33:01,0.0003
swinunet,3,0.8829530988420758,2:18:54,0.0003
attentionunet,1,0.8859100341796875,1:37:25,0.0003
attentionunet,0,0.8914862496512277,1:37:57,0.0003
attentionunet,3,0.8549043201264881,1:39:39,0.0003
attentionunet,2,0.8067619323730468,1:47:57,0.0003
attentionunet,4,0.8562904539562407,0:49:18,0.0003
unet,0,0.8705004737490699,1:05:47,0.0001
unet,1,0.871786390032087,1:05:48,0.0001
unet,3,0.8408701578776042,1:06:21,0.0001
unet,4,0.8642208462669736,1:07:44,0.0001
unet,2,0.8324292319161551,1:10:16,0.0001
attentionunet,1,0.8776459012712751,1:36:54,0.0001
attentionunet,0,0.8888909476143974,1:37:42,0.0001
attentionunet,3,0.8410334269205729,1:39:58,0.0001
attentionunet,2,0.7825709206717355,1:48:16,0.0001
attentionunet,4,0.851923352196103,0:49:00,0.0001
swinunet,0,0.8914342244466146,2:14:24,0.0001
swinunet,1,0.8904052461896624,2:11:41,0.0001
swinunet,2,0.8643063136509487,2:38:53,0.0001
swinunet,3,0.8829120454334077,2:15:23,0.0001
swinunet,4,0.9034767150878906,2:04:44,0.0001
segresnet,0,0.8955480868999774,0:58:14,0.0001
segresnet,1,0.8980214936392648,0:57:16,0.0001
segresnet,2,0.8562910079956054,1:08:55,0.0001
segresnet,3,0.8718142876258264,0:58:28,0.0001
segresnet,4,0.8781105388294567,1:01:02,0.0001
